ESCO Company Name,Address,Phone,Fax,Email,Website,Commodity,Territory,Service Class
Stand Energy Corporation,"1077 Celestial Street, Suite 110, Cincinnati, OH 45202-1629",(513) 621-1113,(513) 621-3773,billing@standenergy.com,http://www.standenergy.com,GAS,"Corning Natural Gas Corporation; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
Stream,"2745 Dallas Parkway, Suite 200, Plano, TX 75093",214-800-4400,,consumeraffairs@mystream.com,http://www.mystream.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || Long Island Power Authority; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
SunSea Energy LLC,"1903 Marlton Pike East Suite N73, Cherry Hill, NJ 08003",844-277-7517,215-565-2722,customercare@sunseaenergy.com,http://www.sunseaenergy.com/,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Residential - Serving || Small Commercial - Serving
"Texas Retail Energy, LLC","2608 SW J Street, Mailstop 5530, Bentonville, AR 72716",(479) 321-9864,(479) 204-0936,operations@texasretailenergy.com,,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving
"Think Energy, LLC","4 Post Office Ln, Unit 1288, Greens Farms, CT 06838",8889233633,715-583-2978,care@thinkenergy.com,https://www.thinkenergy.com/?utm_source=rateboard&utm_medium=referral&utm_campaign=newyork,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Titan Gas, LLC","3355 West Alabama, Suite 500, Houston, TX 77098",(713) 355-6200,800-450-3515,support@titannatgas.com,http://www.titannatgas.com,GAS,,Commercial/Industrial - Certified - Not Serving
"U.S. Gas & Electric, LLC. DBA New York Gas & Electric (16415US)","6555 Sierra Dr., Irving, TX 75039",214-812-4600,888-829-5797,NY_Markets@usgande.com,https://www.nygande.com/?rfid=PUC_New_York,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"UGI Energy Services, LLC d/b/a UGI EnergyLink","835 Knitting Mills Way, Wyomissing, PA 19610",(610) 373-7999,(610) 374-4288,customercare@ugies.com,http://www.ugies.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || Corning Natural Gas Corporation; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || St. Lawrence Gas Company, Inc.; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving
United Energy Supply Corp,"235 Sussex Road, New Rochelle, NY 10804",914-230-4123,914-654-6522,info@unitedenergysupply.com,http://unitedenergysupply.com,GAS,"Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Verde Energy USA New York LLC,"12140 Wickchester Ln Suite #100, Houston, TX 77079",800-388-3862,877-374-8007,customercare@VerdeEnergy.com,https://www.VerdeEnergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Vineyard Oil & Gas Corporation,"10299 West Main Road, North East, PA 16428",(814) 725-8742 x 132,(814) 725-9667,meastman@vogmarketing.com,http://www.vineyardoilandgas.com,GAS,National Fuel Gas Distribution Corporation;,Commercial/Industrial - Serving
"Viridian Energy NY, LLC","6555 Sierra Drive, Irving, TX 75039",214-812-4600,,customercare@viridian.com,http://www.viridian.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || New York State Electric & Gas Corporation; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"Viridian Energy PA, LLC","6555 Sierra Drive, Irving, TX 75039",(866) 663-2508,,customercare@viridian.com,https://enroll.viridian.com/?ba=Agent98943,GAS,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
"XOOM Energy New York, LLC","804 Carnegie Center, Princeton, NJ 08540",888-997-8979,704-274-1430,consumeraffairs@xoomenergy.com,http://www.xoomenergy.com,ELECTRIC,"Central Hudson Gas & Electric Corporation; || Consolidated Edison Company of New York, Inc.; || KeySpan Gas East Corporation d/b/a National Grid; || National Fuel Gas Distribution Corporation; || New York State Electric & Gas Corporation; || Niagara Mohawk Power Corporation d/b/a National Grid; || Orange and Rockland Utilities, Inc.; || Rochester Gas and Electric Corporation; || The Brooklyn Union Gas Company d/b/a National Grid NY;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
Zone One Energy LLC,"105 W. 86th Street, Suite 101, New York, NY 10024",347-620-7283,,support@zone1energy.com,http://www.zone1energy.com,ELECTRIC,"Consolidated Edison Company of New York, Inc.;",Commercial/Industrial - Serving || Residential - Serving || Small Commercial - Serving
